Producto 20447: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20449: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20450: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20453: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20456: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20459: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20463: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20464: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20465: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20466: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20469: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20470: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20473: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20474: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20478: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20479: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20480: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20481: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20482: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20483: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20484: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20488: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20490: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20496: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20497: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20500: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20502: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20505: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20508: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20509: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20513: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20514: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20517: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20520: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20522: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20524: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20530: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20532: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20536: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20538: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20539: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20541: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20542: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20544: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20549: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20551: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20552: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20555: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20560: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20561: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20563: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20565: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20567: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20568: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20570: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20571: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20572: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20574: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20576: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20578: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20579: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20583: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20585: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20586: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20588: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20589: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20596: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20597: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20599: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20600: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20601: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20602: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20604: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20605: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20606: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20609: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20612: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20614: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20617: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20622: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20624: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20628: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20629: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20632: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20636: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20637: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20638: mejor modelo = regresion, MAE sep-nov = 0.0000
Producto 20639: mejor modelo = regresion, MAE sep-nov = 0.0000
